epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
11,622.483,3.12396,0.12162,0.22973,3.78366,0.000158566,0.000158566,0.000158566
36,1845.11,1.69141,0.2027,0.2973,3.8502,0.00011791,0.00011791,0.00011791
12,684.509,3.07977,0.13514,0.22973,3.75112,0.000170702,0.000170702,0.000170702
37,1906.73,1.61392,0.2027,0.2973,4.18595,0.000115336,0.000115336,0.000115336
13,753.425,3.00188,0.14865,0.24324,3.75679,0.000177112,0.000177112,0.000177112
38,1976.12,1.57869,0.2027,0.2973,4.24698,0.000112762,0.000112762,0.000112762
14,810.365,2.8671,0.17568,0.25676,3.75091,0.000174538,0.000174538,0.000174538
39,2032.97,1.60789,0.2027,0.2973,4.52328,0.000110188,0.000110188,0.000110188
15,866.901,2.83141,0.16216,0.27027,3.6434,0.000171964,0.000171964,0.000171964
40,2089.58,1.66737,0.2027,0.2973,4.09003,0.000107614,0.000107614,0.000107614
16,927.894,2.78115,0.16216,0.28378,3.74076,0.00016939,0.00016939,0.00016939
41,2151.37,1.58034,0.17568,0.2973,4.18727,0.00010504,0.00010504,0.00010504
17,1018.17,2.66807,0.18919,0.28378,3.75251,0.000166816,0.000166816,0.000166816
42,2242.12,1.57024,0.18919,0.2973,4.54449,0.000102466,0.000102466,0.000102466
18,1108.27,2.51699,0.18919,0.28378,3.80975,0.000164242,0.000164242,0.000164242
43,2332.52,1.59337,0.18919,0.2973,4.4489,9.9892e-05,9.9892e-05,9.9892e-05
19,1168.86,2.51866,0.18919,0.28378,3.60378,0.000161668,0.000161668,0.000161668
44,2391.44,1.60414,0.18919,0.2973,4.27368,9.7318e-05,9.7318e-05,9.7318e-05
20,1224.63,2.39245,0.17568,0.28378,3.73653,0.000159094,0.000159094,0.000159094
45,2446.96,1.45416,0.17568,0.2973,4.79297,9.4744e-05,9.4744e-05,9.4744e-05
21,1279.16,2.37729,0.17568,0.28378,3.93974,0.00015652,0.00015652,0.00015652
46,2501.48,1.50977,0.17568,0.31081,4.65507,9.217e-05,9.217e-05,9.217e-05
22,1330.08,2.28743,0.17568,0.28378,3.94873,0.000153946,0.000153946,0.000153946
47,2552.67,1.48419,0.18919,0.31081,4.68631,8.9596e-05,8.9596e-05,8.9596e-05
23,1383.92,2.18155,0.18919,0.28378,3.89774,0.000151372,0.000151372,0.000151372
48,2607.21,1.49114,0.18919,0.31081,4.90427,8.7022e-05,8.7022e-05,8.7022e-05
24,1435.22,2.17743,0.18919,0.28378,3.93112,0.000148798,0.000148798,0.000148798
49,2658.16,1.4785,0.17568,0.2973,4.50514,8.4448e-05,8.4448e-05,8.4448e-05
25,1482.33,2.16429,0.18919,0.28378,3.86397,0.000146224,0.000146224,0.000146224
50,2703.98,1.46522,0.18919,0.31081,4.78784,8.1874e-05,8.1874e-05,8.1874e-05
26,1524.81,2.08332,0.18919,0.2973,3.92904,0.00014365,0.00014365,0.00014365
51,2746.9,1.41665,0.18919,0.2973,4.40208,7.93e-05,7.93e-05,7.93e-05
27,1566.45,2.04845,0.2027,0.2973,4.115,0.000141076,0.000141076,0.000141076
52,2789,1.3886,0.17568,0.31081,4.79264,7.6726e-05,7.6726e-05,7.6726e-05
